t_neural:float ms,t_physics:float s,frame_id:int,spike_count:int,moose_pos:float[3],hit_bool:int
2899.71,2.89971,87,3365,9.6722;0.0000;0.2000,0
2933.04,2.93304,88,4473,9.6455;0.0000;0.2000,0
2966.37,2.96637,89,3301,9.6187;0.0000;0.2000,0
2999.7,2.9997,90,3355,9.5920;0.0000;0.2000,0
3033.03,3.03303,91,4374,9.5652;0.0000;0.2000,0
3066.36,3.06636,92,3390,9.5385;0.0000;0.2000,0
3099.69,3.09969,93,3271,9.5117;0.0000;0.2000,0
3133.02,3.13302,94,4323,9.4849;0.0000;0.2000,0
3166.35,3.16635,95,3286,9.4582;0.0000;0.2000,0
3199.68,3.19968,96,3348,9.4314;0.0000;0.2000,0
3233.01,3.23301,97,4367,9.4047;0.0000;0.2000,0
3266.34,3.26634,98,3293,9.3779;0.0000;0.2000,0
3299.67,3.29967,99,3173,9.3512;0.0000;0.2000,0
3333.0,3.333,100,4445,9.3244;0.0000;0.2000,0
3366.33,3.36633,101,3320,9.2977;0.0000;0.2000,0
3399.66,3.39966,102,3248,9.2709;0.0000;0.2000,0
3432.99,3.43299,103,4470,9.2441;0.0000;0.2000,0
3466.32,3.46632,104,3333,9.2174;0.0000;0.2000,0
3499.65,3.49965,105,3321,9.1906;0.0000;0.2000,0
3532.98,3.53298,106,4470,9.1639;0.0000;0.2000,0
3566.31,3.56631,107,3232,9.1371;0.0000;0.2000,0
3599.64,3.59964,108,3313,9.1104;0.0000;0.2000,0
3632.97,3.63297,109,4368,9.0836;0.0000;0.2000,0
3666.3,3.6663,110,3315,9.0569;0.0000;0.2000,0
3699.63,3.69963,111,3287,9.0301;0.0000;0.2000,0
3732.96,3.73296,112,4513,9.0033;0.0000;0.2000,0
3766.29,3.76629,113,3303,8.9766;0.0000;0.2000,0
3799.62,3.79962,114,3312,8.9498;0.0000;0.2000,0
3832.95,3.83295,115,4267,8.9231;0.0000;0.2000,0
3866.28,3.86628,116,3351,8.8963;0.0000;0.2000,0
3899.61,3.89961,117,3270,8.8696;0.0000;0.2000,0
3932.94,3.93294,118,4293,8.8428;0.0000;0.2000,0
3966.27,3.96627,119,3236,8.8161;0.0000;0.2000,0
3999.6,3.9996,120,3300,8.7893;0.0000;0.2000,0
4032.93,4.03293,121,4425,8.7625;0.0000;0.2000,0
4066.26,4.06626,122,3200,8.7358;0.0000;0.2000,0
4099.59,4.09959,123,3283,8.7090;0.0000;0.2000,0
4132.92,4.13292,124,4316,8.6823;0.0000;0.2000,0
4166.25,4.16625,125,3356,8.6555;0.0000;0.2000,0
4199.58,4.19958,126,3416,8.6288;0.0000;0.2000,0
4232.91,4.23291,127,4441,8.6020;0.0000;0.2000,0
4266.24,4.26624,128,3249,8.5753;0.0000;0.2000,0
4299.57,4.29957,129,3257,8.5485;0.0000;0.2000,0
4332.9,4.3329,130,31066,8.5217;0.0000;0.2000,0
4366.23,4.36623,131,23098,8.4950;0.0000;0.2000,0
4399.56,4.39956,132,3326,8.4682;0.0000;0.2000,0
4432.89,4.43289,133,4312,8.4415;0.0000;0.2000,0
4466.22,4.46622,134,3400,8.4147;0.0000;0.2000,0
4499.55,4.49955,135,3314,8.3880;0.0000;0.2000,0
4532.88,4.53288,136,4356,8.3612;0.0000;0.2000,0
4566.21,4.56621,137,3386,8.3344;0.0000;0.2000,0
4599.54,4.59954,138,3295,8.3077;0.0000;0.2000,0
4632.87,4.63287,139,4489,8.2809;0.0000;0.2000,0
4666.2,4.6662,140,3383,8.2542;0.0000;0.2000,0
4699.53,4.69953,141,3329,8.2274;0.0000;0.2000,0
4732.86,4.73286,142,4350,8.2007;0.0000;0.2000,0
4766.19,4.76619,143,3192,8.1739;0.0000;0.2000,0
4799.52,4.79952,144,3323,8.1472;0.0000;0.2000,0
4832.85,4.83285,145,1067,8.1204;0.0000;0.2000,0
4866.18,4.86618,146,3306,8.0936;0.0000;0.2000,0
4899.51,4.89951,147,3342,8.0669;0.0000;0.2000,0
4932.84,4.93284,148,4353,8.0401;0.0000;0.2000,0
4966.17,4.96617,149,3216,8.0134;0.0000;0.2000,0
4999.5,4.9995,150,3207,7.9866;0.0000;0.2000,0
5032.83,5.03283,151,4490,7.9599;0.0000;0.2000,0
5066.16,5.06616,152,3204,7.9331;0.0000;0.2000,0
5099.49,5.09949,153,3313,7.9064;0.0000;0.2000,0
5132.82,5.13282,154,4379,7.8796;0.0000;0.2000,0
5166.15,5.16615,155,3262,7.8528;0.0000;0.2000,0
5199.48,5.19948,156,3311,7.8261;0.0000;0.2000,0
5232.81,5.23281,157,4388,7.7993;0.0000;0.2000,0
5266.14,5.26614,158,3261,7.7726;0.0000;0.2000,0
5299.47,5.29947,159,3413,7.7458;0.0000;0.2000,0
5332.8,5.3328,160,4293,7.7191;0.0000;0.2000,0
5366.13,5.36613,161,3236,7.6923;0.0000;0.2000,0
5399.46,5.39946,162,3190,7.6656;0.0000;0.2000,0
5432.79,5.43279,163,4326,7.6388;0.0000;0.2000,0
5466.12,5.46612,164,3295,7.6120;0.0000;0.2000,0
5499.45,5.49945,165,22811,7.5853;0.0000;0.2000,0
5532.78,5.53278,166,30911,7.5585;0.0000;0.2000,0
5566.11,5.56611,167,3294,7.5318;0.0000;0.2000,0
5599.44,5.59944,168,3286,7.5050;0.0000;0.2000,0
5632.77,5.63277,169,4509,7.4783;0.0000;0.2000,0
5666.1,5.6661,170,3269,7.4515;0.0000;0.2000,0
5699.43,5.69943,171,3280,7.4247;0.0000;0.2000,0
5732.76,5.73276,172,4328,7.3980;0.0000;0.2000,0
5766.09,5.76609,173,3356,7.3712;0.0000;0.2000,0
5799.42,5.79942,174,3276,7.3445;0.0000;0.2000,0
5832.75,5.83275,175,4369,7.3177;0.0000;0.2000,0
5866.08,5.86608,176,3253,7.2910;0.0000;0.2000,0
5899.41,5.89941,177,3268,7.2642;0.0000;0.2000,0
5932.74,5.93274,178,4374,7.2375;0.0000;0.2000,0
5966.07,5.96607,179,3216,7.2107;0.0000;0.2000,0
5999.4,5.9994,180,3397,7.1839;0.0000;0.2000,0
6032.73,6.03273,181,4399,7.1572;0.0000;0.2000,0
6066.06,6.06606,182,3330,7.1304;0.0000;0.2000,0
6099.39,6.09939,183,3315,7.1037;0.0000;0.2000,0
6132.72,6.13272,184,4334,7.0769;0.0000;0.2000,0
6166.05,6.16605,185,3244,7.0502;0.0000;0.2000,0
6199.38,6.19938,186,3286,7.0234;0.0000;0.2000,0
6232.71,6.23271,187,4284,6.9967;0.0000;0.2000,0
6266.04,6.26604,188,3297,6.9699;0.0000;0.2000,0
6299.37,6.29937,189,3301,6.9431;0.0000;0.2000,0
6332.7,6.3327,190,4484,6.9164;0.0000;0.2000,0
6366.03,6.36603,191,3270,6.8896;0.0000;0.2000,0
6399.36,6.39936,192,3258,6.8629;0.0000;0.2000,0
6432.69,6.43269,193,4385,6.8361;0.0000;0.2000,0
6466.02,6.46602,194,3251,6.8094;0.0000;0.2000,0
6499.35,6.49935,195,3337,6.7826;0.0000;0.2000,0
6532.68,6.53268,196,4398,6.7559;0.0000;0.2000,0
6566.01,6.56601,197,3325,6.7291;0.0000;0.2000,0
6599.34,6.59934,198,3273,6.7023;0.0000;0.2000,0
6632.67,6.63267,199,4242,6.6756;0.0000;0.2000,0
6666.0,6.666,200,3312,6.6488;0.0000;0.2000,0
6699.33,6.69933,201,3300,6.6221;0.0000;0.2000,0
6732.66,6.73266,202,4420,6.5953;0.0000;0.2000,0
6765.99,6.76599,203,3292,6.5686;0.0000;0.2000,0
6799.32,6.79932,204,3281,6.5418;0.0000;0.2000,0
6832.65,6.83265,205,4411,6.5151;0.0000;0.2000,0
6865.98,6.86598,206,3242,6.4883;0.0000;0.2000,0
6899.31,6.89931,207,3318,6.4615;0.0000;0.2000,0
6932.64,6.93264,208,4454,6.4348;0.0000;0.2000,0
